"CLIENTNO","CLIENTNAME","STREET","CITY","STATES","ZIPCODE","WEBADDRESS","CONTACT_FNAME","CONTACT_LNAME","PHONE","EMAIL"
4532016128,"Chiwetel Ejiofor","Murray Avenue","Pittsburgh","PA",15213,"www.alex.org","Rohit","Sharma",1234567891,"r.sharma@abc.com"
3455200757,"John Oliver","Get lost avenue","Boston","MA",16215,"www.kane.gov","Virat","Kohli",2345678912,"v.kohli@abc.com"
1599434496,"James Earl Jones","Go to hell avenue","San Francisco","CA",17215,"www.stokes.com","Adam","Zampa",3456789123,"a.zampa@abc.com"
9878511883,"Alfre Woodard","Never Mind street","Greater Huntington","WV",18215,"www.alex.edu","Lionel","Messi",4567891234,"l.messi@abc.com"
5580424655,"Eric Andr‚","Senseless avenue","Greater Huntington","WV",19215,"www.russel.in","Virat","Kohli",2345678912,"v.kohli@abc.com"
6977879690,"Beyonc‚","Careful street","Atlanta","GA",19216,"www.gayle.net","Trent","Boult",6789123456,"t.boult@xyz.com"
2998787484,"Christian Bale","Murray Avenue","Pittsburgh","PA",15213,"www.sam.edu","Andrew","Carnegie",7891234567,"a.carnegie@cmu.edu"
1530375421,"Thanos","Jungle street","Chicago","IL",13213,"www.thanos.com","Andrew","Carnegie",7891234567,"a.carnegie@cmu.edu"
1036438432,"Tony","Iron Man avenue","Chicago","IL",13214,"www.tony.org","Bill","Gates",9123456789,"b.gates@microsoft.com"
2915486715,"Stokes","Cricket street","New York City","NY",14218,"www.stokes.org","Mark","Zuckerberg",1472583694,"mark1@facebook.com"
5431225125,"Cillian Murphy","Downton abbey","Philadelphia","PA",12532,"","Chin","Han",3242626534,"cmurphy@gmail.com"
3490125515,"Jill Stuart","Fifth avenue","Greater Huntington","WV",35235,"","Ivy","Chen",4122095545,"jills@gmail.com"
