"EMPNO","FNAME","LNAME","POSITION","PHONE","EMAIL","DOB","GENDER","SALARY","HIREDATE","OUTNO","SUPERVISORNO"
285,"Martha","Jones","General Manager",4195717055,"mjones@car_rental.com",18-JUN-86,"F",100000,12-OCT-09,386703,
193,"Brian","Smith","Operations Manager",5104429270,"bsmith@car_rental.com",29-JUN-85,"M",78000,20-DEC-13,677386,285
56,"Delbert","Quintero","Operations Manager",7323615593,"dquintero@car_rental.com",07-JUL-80,"M",85000,24-JAN-12,476412,285
1939,"Kelly","Jackson","Office Manager",7082005099,"kjackson@car_rental.com",01-NOV-84,"F",98000,07-MAR-12,476412,285
6834,"Hillary","Dennis","Office Manager",5016581818,"hdennis@car_rental.com",29-AUG-82,"F",98000,19-JUN-14,926360,285
341,"Kevin","Mares","Office Manager",7045126712,"kmares@car_rental.com",11-JUN-73,"M",93000,13-AUG-15,942762,285
559,"Isaias","Gatson","Rental Agent",2482011215,"igatson@car_rental.com",26-JAN-84,"M",80000,13-FEB-12,942762,56
786,"Robert","Meinhardt","Rental Agent",8484664566,"rmeinhardt@car_rental.com",21-JUL-83,"M",72000,15-JUL-16,677386,56
20,"Michele","Marcum","Customer Service",3054137501,"mmarcum@car_rental.com",02-FEB-92,"F",52000,05-AUG-16,386703,193
863,"Carl","Landwehr","Customer Service",4074153207,"clandwehr@car_rental.com",20-AUG-70,"M",67000,30-SEP-16,386703,193
362,"Wallace ","Fernandes","Supervisor",8632687856,"wfernandes@car_rental.com",15-MAY-82,"M",80000,13-MAY-17,939863,193
263,"Stephen ","Bentley","Car Washer",4600359839,"sbentley@car_rental.com",16-JAN-81,"M",47000,24-MAR-18,939863,362
505,"Georgia","Murray","Rental Agent",4102951574,"gmurray@car_rental.com",19-MAY-76,"F",56000,18-JUN-18,386703,56
