CLIENTNO,CLIENTNAME,STREET,CITY,STATES,ZIPCODE,WEBADDRESS,CONTACT_FNAME,CONTACT_LNAME,PHONE,EMAIL
4532016128,Chiwetel Ejiofor,Murray Avenue,Pittsburgh,PA,15213,www.alex.org,Rohit,Sharma,1234567891,r.sharma@abc.com
3455200757,John Oliver,Get lost avenue,Boston,MA,16215,www.kane.gov,Virat,Kohli,2345678912,v.kohli@abc.com
1599434496,James Earl Jones,Go to hell avenue,San Francisco,CA,17215,www.stokes.com,Adam,Zampa,3456789123,a.zampa@abc.com
9878511883,Alfre Woodard,Never Mind street,Greater Huntington,WV,18215,www.alex.edu,Lionel,Messi,4567891234,l.messi@abc.com
5580424655,Eric Andr‚,Senseless avenue,Greater Huntington,WV,19215,www.russel.in,Virat,Kohli,2345678912,v.kohli@abc.com
6977879690,Beyonc‚,Careful street,Atlanta,GA,19216,www.gayle.net,Trent,Boult,6789123456,t.boult@xyz.com
2998787484,Christian Bale,Murray Avenue,Pittsburgh,PA,15213,www.sam.edu,Andrew,Carnegie,7891234567,a.carnegie@cmu.edu
1530375421,Thanos,Jungle street,Chicago,IL,13213,www.thanos.com,Andrew,Carnegie,7891234567,a.carnegie@cmu.edu
1036438432,Tony,Iron Man avenue,Chicago,IL,13214,www.tony.org,Bill,Gates,9123456789,b.gates@microsoft.com
2915486715,Stokes,Cricket street,New York City,NY,14218,www.stokes.org,Mark,Zuckerberg,1472583694,mark1@facebook.com
5431225125,Cillian Murphy,Downton abbey,Philadelphia,PA,12532,,Chin,Han,3242626534,cmurphy@gmail.com
3490125515,Jill Stuart,Fifth avenue,Greater Huntington,WV,35235,,Ivy,Chen,4122095545,jills@gmail.com
1092615453,Mike,2306 Penn Ave,Pittsburgh,PA,15222,www.cmu.edu,Jason,Yao,4124346579,aby21@gmail.com
2345436214,Lin,1501 Arch St,Pittsburgh,PA,15212,www.beautychina.org,Nik,Wanq,4123428152,edsp1@gmail.com
3342342521,Michael,1003 Charleston,Charleston,WV,25389,www.savepoverty.org,Iva,Chang,3043443950,se021@gmail.com
4568323734,Kobe,1201 University Rd,Cleveland,OH,44113,www.upitts.edu,Wax,Uid,2167719236,ies912w@gmail.com
5765567583,Shang,1979 W 25th St,Cleveland,OH,44113,www.uiuc.edu,Min,Ning,2165796800,721ddd@gmail.com
6657435424,Dirk,116 Kanawha Blvd E,Charleston,WV,25301,www.upmc.org,Mark,Yalk,2342082245,8e3s2@gmail.com
7843452345,Jason,1198 Wayne Ave,Indiana,PA,15701,www.something.com,Aaron,Tim,7243495750,aac98@gmail.com
8765474265,Alex,2025 Ben Franklin,Philadelphia,PA,19130,www.uchicago.edu,Mary,Wai,2152787000,uei91@gmail.com
9654423553,Dwan,1320 Walnut St,Philadelphia,PA,19107,www.voteforwomen.org,Rai,Ioa,2157321726,ss82@gmail.com
1053456546,Tim,28 S 18th St,Philadelphia,PA,19103,,Shean,Lin,2155675144,wuesx92@gmail.com
